,,Surname,Name,Born,Died,Affiliation,City (Affiliation) History,City (Affiliation) Geography,Nation (Affiliation) History,Nation (Affiliation) Geography,Role in the IMO Commission,Field of study
1929,50,Sophoterow,Nikolai Kvintilianovich,1881,1935,Ukranian Meteorological and Hydrological Office,Kiev,Kiev,USSR,Ukraine,Member,
1929,51,Stewart,Charles M.,,,South African Meteorological Institute,Pretoria,Pretoria,South Africa,South Africa,Member,Meteorology
1929,52,Taylor,Thomas Griffith,1880,1963,"Geography Department, University of Sydney",Sydney,Sydney,Australia,Australia,Member,Geography
1929,53,Wallén,Axel Wilhelm,1877,1935,Swedish Hydrographical and Meteorological Service,Stockholm,Stockholm,Sweden,Sweden,President,Meteorology
1929,54,Walter,Albert,1877,1972,British East African Meteorological Service,Nairobi,Nairobi,Great Britain (Kenya),Kenya,Member,Meteorology
1929,55,Wehrlé,Philippe,1890,1965,"French Meteorological Service, Forecasting section",Paris,Paris,France,France,Member,Meteorology
1929,56,Wery,Georges Eugène,1861,1936,French National Agronomy Institute,Paris,Paris,France,France,Member,Agriculture
1929,57,Westerdijk,Johanna,1883,1961,"W. C. Scholten Laboratory, University of Utrecht",Baarn,Baarn,The Netherlands,The Netherlands,Member,Agriculture
1932,0,Åkerman,Ake,1887,1955,Svalöf Plant Breeding Institute,Svalöf,Svalöv,Sweden,Sweden,Member,Agriculture
1932,1,Azzi,Girolamo,1885,1969,Agronomy Institute,Perugia,Perugia,Italy,Italy,Member,Agriculture
1932,2,Bamford,Alec Joscelyne,1885,1957,Colombo Observatory,Colombo,Colombo,Great Britain (Ceylon),Sri Lanka,Member,Meteorology
1932,3,Barloti,Jānis,1895,1965,Central Meteorological Bureau of Latvia,Riga,Riga,Latvia,Latvia,Member,Agriculture
1932,4,Bates,Daniel Cross,1868,1954,New Zealand Department of Scientific and Industrial Research,Wellington,Wellington,New Zealand,New Zealand,Member,Meteorology
1932,5,Berloty,Bonaventure,1856,1934,Ksara Observatory,Ksara,Ksara,France (French Syria),Lebanon,Member,Meteorology
1932,6,Birkeland,Bernt Johannes,1879,1955,Norwegian Meteorological Institute,Oslo,Oslo,Norway,Norway,Member,Meteorology
1932,7,Braak,Cornelis,1880,1973,Royal Dutch Meteorological Institute,de Bilt,de Bilt,The Netherlands,The Netherlands,Member,Meteorology
1932,8,Bureau,Robert,1892,1965,French Meteorological Service,Paris,Paris,France,France,Member,Meteorology
1932,9,Carton,Paul,1891,1969,"Climatology and Agricultural Meteorology Bureau, Indochina Central Observatory",Phu Lien,Phu Lien,France (French Indochina),Vietnam,Member,Agriculture
1932,10,Chaptal,Léon,1882,1949,Central Experimental Station for Agricultural Physics and Climatology,Montpellier,Montpellier,France,France,Member,Agriculture
1932,11,Connor,Abraham James,1884,1955,Canadian Meteorological Service,Toronto,Toronto,Canada,Canada,Member,Meteorology
1932,12,La Cour,Dan,1876,1942,Danish Meteorological Institute,Copenhagen,Copenhagen,Denmark,Denmark,Member,Meteorology
1932,13,Delcambre,Émile,1871,1951,French Meteorological Service,Paris,Paris,France,France,Member,Meteorology
1932,14,Dop,Louis,1866,1935,International Institute of Agriculture,Rome,Rome,Italy,Italy,Member,Agriculture
1932,15,Eredia,Filippo,1877,1948,"Forecasting Service, Italian Central Bureau of Meteorology and Geodynamics",Rome,Rome,Italy,Italy,Member,Meteorology
1932,16,Ferraz,Joaquim de Sampaio,1882,1966,Brasilian Meteorological Institute,Rio de Janeiro,Rio de Janeiro,Brasil,Brasil,Member,Meteorology
1932,17,Fisher,Ronald Aylmer,1890,1962,Rothamsted Experimental Station,Harpenden,Harpenden,Great Britain,Great Britain,Member,Agriculture
1932,18,Fontseré i Riba,Eduardo,1870,1970,Catalan Meteorological Service,Barcelona,Barcelona,Spain,Spain,Member,Meteorology
1932,19,Galbis,José,1868,1952,Geographic Engineers Service,Madrid,Madrid,Spain,Spain,Member,Geography
